Organisation,Org ID,Sub Org,Sub Org ID,Org Target Migration Data,Application,Application ID,App Category,App Environment,App Subcategory,Certificates Used,Cryptography Algorithms Used,Changed Algorithms,Replaced With (Algorithms),Algorithm Change Reason,Algorithm Change Status,Changed Certificates,Replaced With (Certificates),Certificate Change Reason,Certificate Change Status,PQC Vulnerable Algorithms,PQC Vulnerable Certificates,NIST Compliant,PCI DSS Compliant,HIPAA Compliant,Non-Compliant,NSM-10 Compliant
Cleveland Clinic,550,EHR Systems,550001,Q4 2026,Epic EHR Backend,550001001,Server,Production,Clinical Workbench,"RSA-2048; TLS 1.2",SHA-256; RSA-2048; ECC,RSA-2048; ECC,"Kyber-1024; Dilithium-2",Classical algorithm not PQC-safe,Completed,"TLS 1.2; RSA-2048",TLS 1.3 with PQC Cert; PQC Code Signing,Upgrade to PQC-compatible cert,Completed,"SHA-256; RSA-2048; ECC","RSA-2048; TLS 1.2",TRUE,TRUE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Radiology & Imaging,550002,Q1 2027,Philips PACS Server,550002001,Database,Production,Imaging Archive,TLS 1.2; Code Signing,SHA-256; RSA-2048; Dilithium-2,RSA-2048,Kyber-512,Classical algorithm not PQC-safe,Completed,TLS 1.2,TLS 1.3 with PQC Cert,Upgrade to PQC-compatible cert,Completed,SHA-256; RSA-2048,TLS 1.2; Code Signing,TRUE,FALSE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Telemedicine Platform,550003,Q3 2026,Amwell Video Gateway,550003001,Network Device,Production,HL7 Processor,TLS 1.2; SSL,SHA-256; ECC; Kyber-1024,SHA-256; ECC,"SHA-3; Dilithium-2",Classical algorithm not PQC-safe,Completed,SSL,Removed SSL legacy,Upgrade to PQC-compatible cert,Completed,SHA-256; ECC,TLS 1.2; SSL,TRUE,FALSE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Clinical Research Analytics,550004,Q2 2027,SAS Analytics Workbench,550004001,Application,UAT,Analytics,Code Signing,SHA-1; RSA-2048; Sphincs+,SHA-1; RSA-2048,"SHA-3; Kyber-1024",Classical algorithm not PQC-safe,Completed,Code Signing,PQC Code Signing,Upgrade to PQC-compatible cert,Completed,SHA-1; RSA-2048,Code Signing,FALSE,FALSE,TRUE,FALSE,FALSE
Cleveland Clinic,550,Cloud Infrastructure Services,550005,Q4 2026,Azure API Gateway,550005001,Network Device,Production,Auth Service,"TLS 1.2; TLS 1.3",SHA-512; ECC; Dilithium-2,ECC,Kyber-512,Classical algorithm not PQC-safe,Completed,TLS 1.2,TLS 1.3 with PQC Cert,Upgrade to PQC-compatible cert,Completed,SHA-512; ECC,TLS 1.2,TRUE,TRUE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Patient Financial Services,550006,Q3 2026,Oracle Claims Processor,550006001,Database,Production,Payment Gateway,RSA-2048; TLS 1.2,SHA-256; RSA-2048,RSA-2048,Kyber-1024,Classical algorithm not PQC-safe,Completed,RSA-2048,PQC Code Signing,Upgrade to PQC-compatible cert,Completed,SHA-256; RSA-2048,"RSA-2048; TLS 1.2",TRUE,TRUE,TRUE,FALSE,TRUE
Cleveland Clinic,550,EHR Systems,550001,Q1 2027,Cerner Patient Portal,550001002,Application,Production,Web UI,TLS 1.2,SHA-256; ECC; Kyber-512,ECC,Dilithium-2,Classical algorithm not PQC-safe,In Progress,,,No Change,,SHA-256; ECC,TLS 1.2,TRUE,FALSE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Radiology & Imaging,550002,Q4 2027,GE Centricity RIS,550002002,Server,QA,Clinical Workbench,SSL,SHA-1; ECC; Kyber-1024,SHA-1,"SHA-3",Outdated hash function,Completed,SSL,TLS 1.3 with PQC Cert,Upgrade to PQC-compatible cert,Completed,SHA-1; ECC,SSL,FALSE,FALSE,FALSE,TRUE,FALSE
Cleveland Clinic,550,Telemedicine Platform,550003,Q3 2027,Teladoc Clinician Dashboard,550003002,Application,Dev,Web UI,Code Signing,RSA-2048; SHA-512,,,No Change,,Code Signing,PQC Code Signing,Upgrade to PQC-compatible cert,Planned,RSA-2048; SHA-512,Code Signing,FALSE,FALSE,TRUE,FALSE,FALSE
Cleveland Clinic,550,Clinical Research Analytics,550004,Q1 2028,REDCap Data Engine,550004002,Database,Production,Data Engine,TLS 1.2,SHA-256; RSA-2048; Kyber-1024,,,No Change,,,,No Change,,SHA-256; RSA-2048,TLS 1.2,TRUE,FALSE,TRUE,FALSE,TRUE
