Section,Algorithm_Name,Category,Variant,Purpose,Usage_Context,Status_Today,PQC_Status,Priority,Classical_Recommended,Quantum_Recommended,NIST_Reference,Notes
Symmetric Algorithms,AES-128-CBC,Symmetric,128-bit,Encryption,"TLS, SSH, VPN, File Encryption",Strong,Safe,Medium,yes,yes,"FIPS 197, RFC 5246",CBC mode is secure when IV and padding are properly managed.
Symmetric Algorithms,AES-128-GCM,Symmetric,128-bit,Authenticated Encryption,"TLS, SSH, VPN, File Encryption",Strong,Safe,High,yes,yes,"FIPS 197, RFC 5288",GCM provides both confidentiality and integrity; preferred over CBC.
Symmetric Algorithms,AES-128-CTR,Symmetric,128-bit,Encryption,"TLS, VPN, File Encryption",Strong,Safe,Medium,yes,yes,FIPS 197,Stream cipher mode; requires unique counter per message.
Symmetric Algorithms,AES-128-CCM,Symmetric,128-bit,Authenticated Encryption,"TLS, IoT, Wireless Protocols",Strong,Safe,Medium,yes,yes,"FIPS 197, RFC 3610",CCM provides confidentiality and integrity; nonce must be unique.
Symmetric Algorithms,AES-256-CBC,Symmetric,256-bit,Encryption,"TLS, SSH, VPN, File Encryption",Strong,Safe,Medium,yes,yes,"FIPS 197, RFC 5246",CBC mode; secure with proper IV and padding.
Symmetric Algorithms,AES-256-GCM,Symmetric,256-bit,Authenticated Encryption,"TLS, SSH, VPN, File Encryption",Strong,Safe,High,yes,yes,"FIPS 197, RFC 5288",GCM provides both confidentiality and integrity; preferred.
Symmetric Algorithms,AES-256-CTR,Symmetric,256-bit,Encryption,"TLS, VPN, File Encryption",Strong,Safe,Medium,yes,yes,FIPS 197,Stream cipher mode; requires unique counter per message.
Symmetric Algorithms,AES-256-CCM,Symmetric,256-bit,Authenticated Encryption,"TLS, IoT, Wireless Protocols",Strong,Safe,Medium,yes,yes,"FIPS 197, RFC 3610",CCM provides confidentiality and integrity; nonce must be unique.
Symmetric Algorithms,3DES-168,Symmetric,168-bit,Encryption,"Legacy TLS, VPN",Weak,Safe,High,no,no,FIPS 46-3,Legacy algorithm; avoid in new systems.
Symmetric Algorithms,DES-56,Symmetric,56-bit,Encryption,Legacy Systems,Insecure,Safe,High,no,no,FIPS 46-3,Broken classically; do not use.
Symmetric Algorithms,RC4-128,Symmetric,128-bit,Stream Cipher,"Legacy TLS, RDP",Insecure,Safe,High,no,no,RFC 7465,Known vulnerabilities; deprecated.
Symmetric Algorithms,RC5-128,Symmetric,128-bit,Encryption,Legacy Systems,Weak,Safe,High,no,no,RSA Laboratories RC5 Specification,Legacy algorithm; rarely used.
Symmetric Algorithms,Blowfish-128,Symmetric,128-bit,Encryption,"Legacy Systems, VPN",Weak,Safe,High,no,no,"Bruce Schneier, Applied Cryptography",Legacy; avoid in new deployments.
Symmetric Algorithms,Camellia-128-CBC,Symmetric,128-bit,Encryption,"TLS, VPN",Strong,Safe,Low,yes,yes,RFC 4132,AES alternative; strong and recommended.
Symmetric Algorithms,Camellia-256-CBC,Symmetric,256-bit,Encryption,"TLS, VPN",Strong,Safe,Low,yes,yes,RFC 4132,AES alternative; strong and recommended.
Symmetric Algorithms,SEED-128-CBC,Symmetric,128-bit,Encryption,"Korean Government Applications, TLS, VPN",Strong,Safe,Low,yes,yes,KISA SEED Specification,Strong; mostly regional usage.
Asymmetric Algorithms,RSA-1024,Asymmetric,1024-bit,Encryption / Digital Signatures,"TLS, SSH, PGP, S/MIME",Weak,Weak,High,no,no,"FIPS 186-4, RFC 8017",Vulnerable to classical factoring attacks; not recommended.
